"","run","samples","edays","egord","xseed","yseed","degord","nobjects","dev","type","k"
"303",3,67,27.6525,5.04755368126075,10.6892555427857,54.5487636402708,1.08333333333333,1,-3.96422034792742,"IXT",2.5
"304",4,84,27.6525,6.32827625710303,13.3380916394948,53.9887357552127,1.08333333333333,1,-5.2449429237697,"IXT",2.5
"305",5,80,27.6525,6.02692976866955,12.9412499388938,54.3025140674314,1.08333333333333,1,-4.94359643533622,"IXT",2.5
"306",6,78,27.6525,5.87625652445282,16.6901078124194,54.283935146421,1.08333333333333,1,-4.79292319111948,"IXT",2.5
"307",7,92,27.6525,6.93096923396999,11.9380865112855,54.7047914218265,1.08333333333333,1,-5.84763590063666,"IXT",2.5
"308",8,73,27.6525,5.49957341391097,12.3766363840172,54.6712108807679,1.08333333333333,1,-4.41624008057764,"IXT",2.5
"309",9,69,27.6525,5.19822692547749,10.7735433641965,54.5958408649743,1.08333333333333,1,-4.11489359214416,"IXT",2.5
"310",10,56,27.6525,4.21885083806869,15.185488179771,53.4784453099233,1.08333333333333,1,-3.13551750473535,"IXT",2.5
"311",11,89,27.6525,6.70495936764488,15.4973845009797,54.4568324022625,1.08333333333333,1,-5.62162603431155,"IXT",2.5
"312",12,82,27.6525,6.17760301288629,12.9039501427685,54.2617238107427,1.08333333333333,1,-5.09426967955296,"IXT",2.5
"313",13,65,27.6525,4.89688043704401,13.8596204417692,54.7620757495185,1.08333333333333,1,-3.81354710371068,"IXT",2.5
"314",14,62,27.6525,4.67087057071891,11.6399808027215,52.8815454816943,1.08333333333333,1,-3.58753723738557,"IXT",2.5
"315",15,75,27.6525,5.65024665812771,12.539412662759,54.4255924093154,1.08333333333333,1,-4.56691332479437,"IXT",2.5
"316",1,78,27.6525,5.87625652445282,29.4275432127582,38.4192902780505,1.08333333333333,1,-4.79292319111948,"IXT",5
"317",2,75,27.6525,5.65024665812771,26.9166495801693,41.1245287398665,1.08333333333333,1,-4.56691332479437,"IXT",5
"318",3,78,27.6525,5.87625652445282,22.9043549677973,42.9420966102361,1.08333333333333,1,-4.79292319111948,"IXT",5
"319",4,79,27.6525,5.95159314656119,39.8137753420593,42.8252408601829,1.08333333333333,1,-4.86825981322785,"IXT",5
"320",5,76,27.6525,5.72558328023608,35.4996843953507,38.1590919526135,1.08333333333333,1,-4.64224994690274,"IXT",5
"321",6,77,27.6525,5.80091990234445,22.1326225071681,45.0887758241599,1.08333333333333,1,-4.71758656901111,"IXT",5
"322",7,84,27.6525,6.32827625710303,36.3294061904028,43.0486831747194,1.08333333333333,1,-5.2449429237697,"IXT",5
"323",8,86,27.6525,6.47894950131977,28.4387224707699,44.1161725705663,1.08333333333333,1,-5.39561616798644,"IXT",5
"324",9,42,27.6525,3.16413812855152,20.4365883961795,35.2087757276921,1.08333333333333,1,-2.08080479521818,"IXT",5
"325",10,65,27.6525,4.89688043704401,21.0464918188604,43.1432655232841,1.08333333333333,1,-3.81354710371068,"IXT",5
"326",11,74,27.6525,5.57491003601934,38.7697984390708,40.3334822850505,1.08333333333333,1,-4.49157670268601,"IXT",5
"327",12,63,27.6525,4.74620719282727,40.5142470615107,39.4610033568432,1.08333333333333,1,-3.66287385949394,"IXT",5
"328",13,48,27.6525,3.61615786120173,19.4578829964593,37.2051384225879,1.08333333333333,1,-2.5328245278684,"IXT",5
"329",14,67,27.6525,5.04755368126075,34.4138593276573,46.8539965156382,1.08333333333333,1,-3.96422034792742,"IXT",5
"330",15,9,27.6525,0.678029598975325,12.8224358506277,51.9990501344495,1.08333333333333,1,0.405303734358008,"IXT",5
"331",1,16,27.6525,1.20538595373391,31.7937389935914,37.5982237664052,1.08333333333333,1,-0.122052620400578,"IXT",10
"332",2,45,27.6525,3.39014799487662,29.9220332430469,10.1739137750316,1.08333333333333,1,-2.30681466154329,"IXT",10
"333",3,42,27.6525,3.16413812855152,28.6459556618345,17.1427703857388,1.08333333333333,1,-2.08080479521818,"IXT",10
